DateTimes,ShamsiDateTime,Air Pressure(hPa),Air Temperature(C),rel. Humidity(%),Surface Temperature(C),Wind Direction(D),Wind Speed(m/s)
2025-02-28 23:50:10,1403/12/10 23:50:10,750.6,-10.1,47.0,-10.4,203.0,0.4
2025-02-28 23:40:10,1403/12/10 23:40:10,750.6,-10.5,48.0,-10.4,201.0,0.9
2025-02-28 23:30:10,1403/12/10 23:30:10,750.7,-10.6,49.0,-10.8,186.0,1.0
2025-02-28 23:20:10,1403/12/10 23:20:10,750.7,-10.9,47.0,-11.0,185.0,1.2
2025-02-28 23:10:10,1403/12/10 23:10:10,750.7,-10.8,46.0,-11.1,187.0,1.4
2025-02-28 23:00:10,1403/12/10 23:00:10,750.8,-11.4,48.0,-11.0,196.0,0.7
2025-02-28 22:50:10,1403/12/10 22:50:10,751.0,-11.1,44.0,-10.8,187.0,0.7
2025-02-28 22:40:10,1403/12/10 22:40:10,751.1,-9.5,37.0,-10.6,212.0,0.3
2025-02-28 22:30:10,1403/12/10 22:30:10,751.1,-8.9,38.0,-10.5,250.0,0.1
2025-02-28 22:20:10,1403/12/10 22:20:10,751.2,-10.6,43.0,-10.5,215.0,0.6
2025-02-28 22:10:10,1403/12/10 22:10:10,751.2,-10.7,42.0,-10.5,198.0,0.9
2025-02-28 22:00:10,1403/12/10 22:00:10,751.2,-9.7,36.0,-10.5,209.0,0.4
2025-02-28 21:50:10,1403/12/10 21:50:10,751.3,-8.7,33.0,-10.6,244.0,0.3
2025-02-28 21:40:10,1403/12/10 21:40:10,751.3,-8.7,35.0,-10.4,247.0,0.2
2025-02-28 21:30:10,1403/12/10 21:30:10,751.4,-8.6,35.0,-10.3,235.0,0.1
2025-02-28 21:20:10,1403/12/10 21:20:10,751.5,-8.4,33.0,-10.5,236.0,0.4
2025-02-28 21:10:10,1403/12/10 21:10:10,751.6,-9.3,36.0,-10.6,229.0,0.1
2025-02-28 21:00:10,1403/12/10 21:00:10,751.6,-8.9,33.0,-10.7,233.0,0.3
2025-02-28 20:50:10,1403/12/10 20:50:10,751.6,-9.2,33.0,-10.4,219.0,0.2
2025-02-28 20:40:10,1403/12/10 20:40:10,751.6,-8.7,33.0,-10.6,257.0,0.3
2025-02-28 20:30:10,1403/12/10 20:30:10,751.7,-9.3,33.0,-10.8,239.0,0.9
2025-02-28 20:20:10,1403/12/10 20:20:10,751.7,-8.5,33.0,-11.2,240.0,0.7
2025-02-28 20:10:10,1403/12/10 20:10:10,751.7,-8.6,32.0,-11.1,233.0,0.0
2025-02-28 20:00:10,1403/12/10 20:00:10,751.7,-7.7,29.0,-10.8,225.0,0.0
2025-02-28 19:50:10,1403/12/10 19:50:10,751.8,-7.7,28.0,-10.2,249.0,0.1
2025-02-28 19:40:10,1403/12/10 19:40:10,751.8,-7.6,29.0,-9.2,248.0,0.4
2025-02-28 19:30:10,1403/12/10 19:30:10,751.8,-7.0,26.0,-9.0,236.0,0.9
2025-02-28 19:20:10,1403/12/10 19:20:10,751.8,-6.9,25.0,-9.1,242.0,2.1
2025-02-28 19:10:10,1403/12/10 19:10:10,751.9,-6.9,26.0,-9.6,229.0,2.8
2025-02-28 19:00:10,1403/12/10 19:00:10,752.0,-7.1,27.0,-10.0,237.0,1.8
2025-02-28 18:50:10,1403/12/10 18:50:10,752.0,-7.4,29.0,-9.9,249.0,0.8
2025-02-28 18:40:10,1403/12/10 18:40:10,752.0,-7.5,30.0,-9.5,255.0,0.7
2025-02-28 18:30:10,1403/12/10 18:30:10,752.0,-7.2,29.0,-9.4,250.0,1.0
2025-02-28 18:20:10,1403/12/10 18:20:10,752.0,-7.0,28.0,-9.9,237.0,2.3
2025-02-28 18:10:10,1403/12/10 18:10:10,752.0,-7.6,32.0,-10.0,243.0,0.9
2025-02-28 18:00:10,1403/12/10 18:00:10,752.0,-7.8,35.0,-9.8,256.0,0.9
2025-02-28 17:50:10,1403/12/10 17:50:10,752.0,-8.0,36.0,-9.7,258.0,1.5
2025-02-28 17:40:10,1403/12/10 17:40:10,751.8,-8.4,39.0,-9.4,253.0,0.8
2025-02-28 17:30:10,1403/12/10 17:30:10,751.7,-8.3,39.0,-9.0,254.0,0.9
2025-02-28 17:20:10,1403/12/10 17:20:10,751.6,-8.1,39.0,-8.6,256.0,1.1
2025-02-28 17:10:10,1403/12/10 17:10:10,751.5,-8.1,38.0,-8.3,254.0,1.7
2025-02-28 17:00:10,1403/12/10 17:00:10,751.5,-6.7,32.0,-8.3,240.0,2.7
2025-02-28 16:50:10,1403/12/10 16:50:10,751.5,-6.9,33.0,-8.7,224.0,3.1
2025-02-28 16:40:10,1403/12/10 16:40:10,751.5,-7.2,35.0,-8.9,232.0,2.4
2025-02-28 16:30:10,1403/12/10 16:30:10,751.6,-7.5,36.0,-9.0,237.0,1.7
2025-02-28 16:20:10,1403/12/10 16:20:10,751.6,-7.6,36.0,-9.1,237.0,1.3
2025-02-28 16:10:10,1403/12/10 16:10:10,751.6,-8.0,40.0,-9.0,229.0,0.7
2025-02-28 16:00:10,1403/12/10 16:00:10,751.6,-7.8,41.0,-8.8,239.0,0.8
2025-02-28 15:50:10,1403/12/10 15:50:10,751.6,-8.6,48.0,-8.5,236.0,0.3
2025-02-28 15:40:10,1403/12/10 15:40:10,751.6,-8.4,48.0,-8.1,252.0,0.6
2025-02-28 15:30:10,1403/12/10 15:30:10,751.5,-7.8,46.0,-7.8,257.0,1.4
2025-02-28 15:20:10,1403/12/10 15:20:10,751.5,-7.7,46.0,-7.6,255.0,2.1
